"Адрес ""грязный""";Адрес чистый
Удмуртская Республика, Малопургинский район, д. Аксакшур, ул. Зеленая, 4;д. Аксакшур, ул. Зеленая, 4
Нижегородская область, Павловский район, с. Вареж, Школьная ул., 19;с. Вареж, Школьная ул., 19
Пензенская область, Лунинский район,  с. Дарьевка, ул. Центральная, 24;с. Дарьевка, ул. Центральная, 24
Удмуртская Республика, Юкаменский район, д. Жувам, ул. Попова, 1а;д. Жувам, ул. Попова, 1а
Нижегородская область, Лукояновский район, с. Большая Аря, ул. Сластяева, 1;с. Большая Аря, ул. Сластяева, 1
Республика Башкортостан, Калтасинский район, д. Амзибаш, ул. Комсомольская, 1;д. Амзибаш, ул. Комсомольская, 1
Республика Башкортостан, Дуванский район, с. Сикияз, ул. Д.М.Араловец, 2б;с. Сикияз, ул. Д.М.Араловец, 2б
Республика Башкортостан, Зианчуринский район, д. Малиновка, ул. Школьная, 1;д. Малиновка, ул. Школьная, 1
Чувашская Республика-Чувашия, Канашский район, д. Байгильдино, ул. Волкова, 31;д. Байгильдино, ул. Волкова, 31
Республика Башкортостан, Бакалинский район, д. Устюмово, ул. Т.Нуркаева, 48а;д. Устюмово, ул. Т.Нуркаева, 48а
Республика Башкортостан, Салаватский район, д. Ахуново, ул. Центральная, 43а;д. Ахуново, ул. Центральная, 43а
Россия, Республика Мордовия, Лямбирский район, село Аксеново, улица Молодежная, дом 29;с. Аксеново,ул. Молодежная, дом 29
Нижегородская область, Вознесенский район, с. Полховский Майдан, ул. Ленина, 116а;с. Полховский Майдан, ул. Ленина, 116а
Республика Башкортостан, Караидельский район, д. Бияз, ул. Салавата Юлаева, 3;д. Бияз, ул. Салавата Юлаева, 3
Республика Башкортостан, Аскинский район, д. Султанай, ул. Школьная, 16;д. Султанай, ул. Школьная, 16
Нижегородская область, Большемурашкинский район, с. Рождествено, ул. Рождественская, 44а;с. Рождествено, ул. Рождественская, 44а
Оренбургская область, Новоорский район, с. Кумак, ул. Садовая, 40;с. Кумак, ул. Садовая, 40
Удмуртская Республика, Малопургинский район, д. Бобья-Уча, ул. Азина, 14;д. Бобья-Уча, ул. Азина, 14
Республика Башкортостан, Аскинский район, д.Старый Мутабаш, ул. Центральная, 32;д.Старый Мутабаш, ул. Центральная, 32
Республика Башкортостан, Миякинский район, д. Култай-Каран, ул. Матросова, 43;д. Култай-Каран, ул. Матросова, 43
Республика Башкортостан, Абзелиловский район, д. Утяганово, ул. Центральная, д.;д. Утяганово, ул. Центральная, д.
Республика Башкортостан, Благоварский район, с.Троицкий, ул.Центральная, 52;с.Троицкий, ул.Центральная, 52
Республика Башкортостан, Татышлинский район, с. Уразгильды, ул.Нагорная, 34;с. Уразгильды, ул.Нагорная, 34
Республика Марий Эл, Новоторъяльский район, д. Кузнецы, ул. Николая Якшова, 1, лит. А;д. Кузнецы, ул. Николая Якшова, 1, лит. А
Удмуртская Республика, Селтинский район, с. Селты, ул. Юбилейная, 3;с. Селты, ул. Юбилейная, 3
Чувашская Республика - Чувашия, Батыревский р-н, д. Старые Тойси, ул. Школьная, 2;Чувашия, д. Старые Тойси, ул. Школьная, 2
Республика Башкортостан, Стерлитамакский район, с. Забельское, ул. Советская, 2а;с. Забельское, ул. Советская, 2а
Пензенская область, Сердобский район, г. Сердобск, ул. Яблочкова, 2а;г. Сердобск, ул. Яблочкова, 2а
Россия, Республика Мордовия, Дубенский район, село Кабаево, улица Московская, дом 98;с. Кабаево,ул. Московская, дом 98
Чувашская Республика-Чувашия, Моргаушский район, с. Юнга, ул. Малые Чуваки, 34;с. Юнга, ул. Малые Чуваки, 34
Республика Башкортостан, Иглинский район, с.Карамалы, ул.Школьная, 4;с.Карамалы, ул.Школьная, 4
Пензенская область, Пачелмский район,  с. Алексеевка, ул. Молодежная, 7;с. Алексеевка, ул. Молодежная, 7
Россия, Республика Мордовия, Лямбирский район, село Татарская Тавла, улица Школьная, дом 34;с. Татарская Тавла,ул. Школьная, дом 34
Республика Башкортостан, Бурзянский район д. Максютово ул. Школьная 23;д. Максютово ул. Школьная 23
Пензенская область, Пензенский район,  с. Васильевка, ул. Центральная, 47;с. Васильевка, ул. Центральная, 47
Республика Башкортостан, Благоварский район, с. Старокучербаево, ул. Центральная, 6 дробь 1;с. Старокучербаево, ул. Центральная, 6 дробь 1
Ульяновская область, Старомайнский район, с. Грибовка, ул. Центральная, 110;с. Грибовка, ул. Центральная, 110
Республика Башкортостан, Зианчуринский район, д. Мухамедьяново, ул. Советская, 24;д. Мухамедьяново, ул. Советская, 24
Россия, Республика Мордовия, Ковылкинский район, село Мордовское Коломасово, улица Молодежгая, дом 8А;с. Мордовское Коломасово,ул. Молодежгая, дом 8А
Ульяновская область, Ульяновский район, с. Вышки, ул. Колхозная, 24;с. Вышки, ул. Колхозная, 24
Удмуртская Республика, Каракулинский район, с. Вятское, ул. Советская, 16;с. Вятское, ул. Советская, 16
Чувашская Республика-Чувашия, Канашский район, д. Атнашево, ул. Кирова, 6;д. Атнашево, ул. Кирова, 6
Республика Башкортостан, Стерлитамакский район, с. Косяковка, ул. Ленина, 50 дробь 2;с. Косяковка, ул. Ленина, 50 дробь 2
Нижегородская область, Бутурлинский район, с. Уварово, ул. Советская, 74;с. Уварово, ул. Советская, 74
Республика Мордовия, Рузаевский район, с. Перхляй, ул. Шишкеевская, 3а;с. Перхляй, ул. Шишкеевская, 3а
Республика Марий Эл, Медведевский район, д. Новое Комино, ул. Школьная, 7, лит. А;д. Новое Комино, ул. Школьная, 7, лит. А
Республика Башкортостан, Чекмагушевский район, с.Караталово, ул. Молодежная, 52;с.Караталово, ул. Молодежная, 52
Республика Башкортостан, Куюргазинский район, с.Ермолаево, ул.Чапаева, 12;с.Ермолаево, ул.Чапаева, 12
Нижегородская область, Вознесенский район, с. Мотызлей, ул. Первомайская, 57;с. Мотызлей, ул. Первомайская, 57
Республика Башкортостан, Бурзянский район, д. Старомунасипово, ул. С.Юлаева, 86;д. Старомунасипово, ул. С.Юлаева, 86
Республика Башкортостан, Иглинский район, с.Михайловка, ул.Заречная,;с.Михайловка, ул.Заречная,
Республика Башкортостан, Благоварский район, с. Тан, ул. Коммуны, 1;с. Тан, ул. Коммуны, 1
Пензенская область, Белинский район,  с. Верхние Поляны, ул. Молодёжная, 4;с. Верхние Поляны, ул. Молодёжная, 4
Республика Башкортостан, Благоварский район, с. Пришиб, ул. Ленина, 38;с. Пришиб, ул. Ленина, 38
Республика Башкортостан, Краснокамский район, д. Бурнюш, ул Школьная,13;д. Бурнюш, ул Школьная,13
Россия, Кировская область, Вятскополянский район, деревня Нижняя Тойма, Центральная улица, дом 189;деревня Нижняя Тойма, Центральная улица, дом 189
Удмуртская Республика, Малопургинский район, д. Гожня, ул. Молодежная, 1А;д. Гожня, ул. Молодежная, 1А
Удмуртская Республика, Воткинский район, с. Первомайский, ул. Гагарина, 14;с. Первомайский, ул. Гагарина, 14
Республика Башкортостан, Миякинский район, д. Аитово, ул. Мира, 9;д. Аитово, ул. Мира, 9
Республика Мордовия, Ромодановский район, п. Липки, ул. Совхозная, 1;п. Липки, ул. Совхозная, 1
Удмуртская Республика, Киясовский район, с. Мушак, ул. Труда, 4;с. Мушак, ул. Труда, 4
Республика Башкортостан, Бакалинский район, с. Ахманово, ул. Центральная, 86;с. Ахманово, ул. Центральная, 86
Республика Башкортостан, Кармаскалинский район, с. Бекетово, ул. Октябрьская, 15, стр. в;с. Бекетово, ул. Октябрьская, 15, стр. в
Нижегородская область, городской округ Перевозский, с. Танайково, Центральная ул., 1 А;городской округ Перевозский, с. Танайково, Центральная ул., 1 А
Чувашская Республика-Чувашия, Красночетайский район, д. Санкино, ул. Ленина, 6;д. Санкино, ул. Ленина, 6
Ульяновская область, Новоспасский район, с. Садовое, ул. Школьная, 26;с. Садовое, ул. Школьная, 26
Республика Башкортостан, Белокатайский район, д.Красный Пахарь, ул.Рахимова, 27;д.Красный Пахарь, ул.Рахимова, 27
Ульяновская область, Мелекесский район, с. Бригадировка, ул. Советская, 26;с. Бригадировка, ул. Советская, 26
Республика Башкортостан, Краснокамский район, д. Старый Каинлык, ул. Коммунаров, 21;д. Старый Каинлык, ул. Коммунаров, 21
Самарская область, Кинель-Черкасский район, с. Кабановка, ул. Крыгина, 1а;с. Кабановка, ул. Крыгина, 1а
Республика Башкортостан, Кигинский район, д. Кандаковка, ул. Мира, 1;д. Кандаковка, ул. Мира, 1
Пензенская область, Спасский район,  с. Веденяпино, ул. Советская, 4;с. Веденяпино, ул. Советская, 4
Пензенская область, Каменский район,  с. Пустынь, ул. Центральная, 90;с. Пустынь, ул. Центральная, 90
Республика Башкортостан, Абзелиловский район, д. Халилово, ул. Советская, 2а;д. Халилово, ул. Советская, 2а
Республика Мордовия, Ичалковский район, с. Ведянцы, ул. Льва Толстого, 25;с. Ведянцы, ул. Льва Толстого, 25
Чувашская Республика - Чувашия, Батыревский р-н, д. Татарские Сугуты, ул. Школьная, 22;Чувашия, д. Татарские Сугуты, ул. Школьная, 22
Республика Мордовия, Атяшевский район, рп.  Атяшево, ул. Большевистская, 105;рп. Атяшево, ул. Большевистская, 105
Республика Башкортостан, Буздякский район, с. Гафури, ул. Школьная, 5;с. Гафури, ул. Школьная, 5
Республика Чувашская, Район Красноармейский, Деревня Пикшики, ул Восточная, д. 2;Пикшики, ул Восточная, д. 2
Республика Башкортостан, Хайбуллинский район, д.Абдулнасырово,ул. Абдулнасыровская, 6а;д.Абдулнасырово,ул. Абдулнасыровская, 6а
Республика Башкортостан, Альшеевский район, с. Гайниямак, ул. Центральная, 41;с. Гайниямак, ул. Центральная, 41
Самарская область, Кинельский район, с. Алакаевка, ул. Юбилейная, 35;с. Алакаевка, ул. Юбилейная, 35
Удмуртская Республика, Юкаменский район, д. Палагай, ул. Клубная, 4;д. Палагай, ул. Клубная, 4
Республика Башкортостан, Аскинский район, д. Гумбино, ул. Мостовая, 3;д. Гумбино, ул. Мостовая, 3
Самарская область, Камышлинский район, с. Камышла, ул. Красноармейская, 37 А;с. Камышла, ул. Красноармейская, 37 А
Пензенская область, Белинский район,  с. Корсаевка, ул. Центральная, 1;с. Корсаевка, ул. Центральная, 1
Оренбургская область, Матвеевский район, п. Высотный, ул Школьная, д 1;п. Высотный, ул Школьная, д 1
Республика Башкортостан, Абзелиловский район, д. Юлдашево, ул. Школьная, 1;д. Юлдашево, ул. Школьная, 1
Республика Башкортостан, Аургазинский район, с.Семенкино, ул. Советская,2 г;с.Семенкино, ул. Советская,2 г
Нижегородская область, Вознесенский район, с. Криуша, ул. Молодежная, 14;с. Криуша, ул. Молодежная, 14
Нижегородская область, Гагинский район, с. Ушаково, ул. Молодежная, 2;с. Ушаково, ул. Молодежная, 2
Республика Башкортостан, Хайбуллинский район, д. Уразбаево, ул. Заки Валиди, 8;д. Уразбаево, ул. Заки Валиди, 8
Удмуртская Республика, Шаркансмкий район, д. Мувыр, ул. Молодежная, 9;д. Мувыр, ул. Молодежная, 9
Республика Башкортостан, Гафурийский район, с. Антоновка, ул. Школьная, 5 дробь 1;с. Антоновка, ул. Школьная, 5 дробь 1
Оренбургская область, Акбулакский район, с. Васильевка, ул. Украинская, 8;с. Васильевка, ул. Украинская, 8
Нижегородская область, Шатковский район, с. Кержемок, ул. Мира, 14в;с. Кержемок, ул. Мира, 14в
Чувашская Республика - Чувашия, Цивильский р-н, г. Цивильск, ул. Юбилейная,  2 корп. 1;Чувашия, г. Цивильск, ул. Юбилейная, 2 корп. 1
Нижегородская область, Спасский район, с. Вазьянка, ул. Советская, 94Б;с. Вазьянка, ул. Советская, 94Б
Республика Башкортостан, Татышлинский район, д. Старый Кызыл-Яр, ул.Центральная, 22 дробь А;д. Старый Кызыл-Яр, ул.Центральная, 22 дробь А
Республика Башкортостан, Баймакский район, д. Крепостной Зилаир, ул. Почтовая, 13;д. Крепостной Зилаир, ул. Почтовая, 13
Удмуртская Республика, Балезинский район, д. Исаково, ул. Советская, 11;д. Исаково, ул. Советская, 11
Пензенская область, Нижнеломовский район, с. Новая Пятина, ул. Новая, 1Б;с. Новая Пятина, ул. Новая, 1Б
Чувашская Республика - Чувашия, Яльчикский р-н, д. Кошки-Куликеево, ул. Кирова, 14А;Чувашия, д. Кошки-Куликеево, ул. Кирова, 14А
Республика Башкортостан, Кугарчинский район, д. Тляумбетово, ул. Молодёжная, 5, стр. 2;д. Тляумбетово, ул. Молодёжная, 5
Республика Башкортостан, Архангельский район, д. Тавакачево, ул. Школьная, 14;д. Тавакачево, ул. Школьная, 14
Республика Марий Эл, Горномарийский район, с. Емешево, ул. Проезжая, 77;с. Емешево, ул. Проезжая, 77
Республика Башкортостан, Хайбуллинский район, д. Новоукраинка, ул. Худайбердина, 8;д. Новоукраинка, ул. Худайбердина, 8
Республика Башкортостан, Аургазинский район, с. Турумбет, ул. Набережная, 6;с. Турумбет, ул. Набережная, 6
Удмуртская Республика, Малопургинский район, д. Старая Монья, ул. Советская, 48В;д. Старая Монья, ул. Советская, 48В
Нижегородская область, Воротынский район, п. Красная Горка, ул. Советская, 25;п. Красная Горка, ул. Советская, 25
Нижегородская область, Дивеевский район, с. Глухово, ул. Почтовая, 69А;с. Глухово, ул. Почтовая, 69А
Россия, Республика Мордовия, Темниковский район, село Кушки, улица Школьная, дом 13;с. Кушки,ул. Школьная, дом 13
Ульяновская область, Новомалыклинский район, с. Средний Сантимир, ул. Кооперативная, 2;с. Средний Сантимир, ул. Кооперативная, 2
Чувашская Республика-Чувашия, Канашский район, д. Хучель, ул. Зеленая, 1 а пом. 1;д. Хучель, ул. Зеленая, 1 а пом. 1
Россия, Кировская область, Уржумский район, Деревня Нижний Унур, ул. Молодежная, д. 38;Деревня Нижний Унур, ул. Молодежная, д. 38
Ульяновская область, Сенгилеевский район, с. Мордово, ул. Ленина, 34;с. Мордово, ул. Ленина, 34
Республика Башкортостан, Куюргазинский район, д. Тимербаево, ул. Центральная, 106;д. Тимербаево, ул. Центральная, 106
Республика Марий Эл, Килемарский район, п. Визимьяры, ул. Советская, 18А;п. Визимьяры, ул. Советская, 18А
Удмуртская Республика, Селтинский район, с. Узи, ул. Советская, 64;с. Узи, ул. Советская, 64
Республика Башкортостан, Калтасинский район, д. Старояшево, ул. Садовая, 2;д. Старояшево, ул. Садовая, 2
Республика Башкортостан, Абзелиловский район, п. Самарский, ул. Школьная, 1;п. Самарский, ул. Школьная, 1
Россия, Республика Мордовия, Ромодановский район, село Алтары, улица Молодежная, дом 16;с. Алтары,ул. Молодежная, дом 16
Республика Башкортостан, Кармаскалинский район, д.Карламан, ул.Ш.Биккула, 3;д.Карламан, ул.Ш.Биккула, 3
Чувашская Республика-Чувашия, Янтиковский район, д. Индырчи, пер Чапаева, 2;д. Индырчи, пер Чапаева, 2
Республика Башкортостан, Илишевский район, д. Телепаново, ул. Центральная, 27;д. Телепаново, ул. Центральная, 27
Нижегородская область, Бутурлинский район, с. Ягубовка, ул. Советская, 1;с. Ягубовка, ул. Советская, 1
Нижегородская область, Дальнеконстантиновский район, с. Сарлей, ул. Советская, 55а;с. Сарлей, ул. Советская, 55а
Пензенская область, Спасский район, с. Кошелевка, ул. Рабочая, 1;с. Кошелевка, ул. Рабочая, 1
Нижегородская область, Тонкинский район, с. Большое Содомово, ул. Школьная, 8;с. Большое Содомово, ул. Школьная, 8
Республика Марий Эл, Куженерский район, пгт. Куженер, ул. Карла Маркса, 7;пгт. Куженер, ул. Карла Маркса, 7
Самарская область, г. Тольятти, проезд Новый, 2, кк.212, 307;г. Тольятти, проезд Новый, 2, кк.212, 307
Самарская область, Шенталинский район, с. Артюшкино, ул. Советская, 61;с. Артюшкино, ул. Советская, 61
Самарская область, Камышлинский район, с. Камышла, ул. Победы, 37А;с. Камышла, ул. Победы, 37А
Самарская область, Волжский район, п. Курумоч, ул. Гаражная, 1А;п. Курумоч, ул. Гаражная, 1А
Самарская область, Исаклинский район, с. Исаклы, ул. Первомайская, 4А;с. Исаклы, ул. Первомайская, 4А
Самарская область, Сергиевский район, с. Старое Якушкино, ул. Мира, 6;с. Старое Якушкино, ул. Мира, 6
Пензенская область, Пачелмский район,  с. Пачелма, ул. Совхозная, 6;с. Пачелма, ул. Совхозная, 6
Нижегородская область, Ветлужский район, с. Новоуспенское, 81а;с. Новоуспенское, 81а
Россия, Кировская область, Тужинский район, Деревня Греково, нет улицы,нет дома;Деревня Греково, нет улицы,нет дома
Нижегородская область, Ветлужский район, с. Турань, 12А;с. Турань, 12А
Хабаровский край, Охотский район, пгт. Охотск, ул. Ленина, 1;пгт. Охотск, ул. Ленина, 1
Белгородская область, Яковлевский район, село Смородино, ул. Мира, д. 3 дробь 2;с. Смородино, ул. Мира, д. 3 дробь 2
Воронежская область, Новоусманский район, с. Макарье, ул. Артамонова, 21а;с. Макарье, ул. Артамонова, 21а
Воронежская обл., Россошанский р-н, с. Кулаковка, ул. Херсонская, 24 А;с. Кулаковка, ул. Херсонская, 24 А
Воронежская обл., Ольховатский р-н, п. Новокулишовка, пер. Садовый, 8 А;п. Новокулишовка, пер. Садовый, 8 А
Белгородская область, Красногвардейский район, село Горовое, ул. Мира, д. 31а;с. Горовое, ул. Мира, д. 31а
Белгородская область, Губкинский городской округ, поселок Казацкая Степь, ул. Народная, д. 43 дробь 1;п. Казацкая Степь, ул. Народная, д. 43 дробь 1
Белгородская область, Белгородский район, село Ближнее, пер. Луговой, д. 11А;с. Ближнее, пер. Луговой, д. 11А
Белгородская область, Ракитянский район, село Введенская Готня, ул. Центральная 1-я, д. 17;с. Введенская Готня, ул. Центральная 1-я, д. 17
Белгородская область, Корочанский район, село Фощеватое, ул. Бригадная, д. 11 дробь 1;с. Фощеватое, ул. Бригадная, д. 11 дробь 1
Белгородская область, Новооскольский район, поселок Полевой, ул. Центральная, д. 34 дробь 1;п. Полевой, ул. Центральная, д. 34 дробь 1
Белгородская область, Новооскольский район, село Крюк, ул. Центральная, д. 4;с. Крюк, ул. Центральная, д. 4
Белгородская область, Новооскольский район, село Песчанка, ул. Покровская, д. 13 дробь 1;с. Песчанка, ул. Покровская, д. 13 дробь 1
Белгородская область, Новооскольский район, хутор Скрынников, ул. Куток, д. 1а;хутор Скрынников, ул. Куток, д. 1а
Белгородская область, Новооскольский район, село Макешкино, ул. Гагарина, д. 96;с. Макешкино, ул. Гагарина, д. 96
Белгородская область, Шебекинский район, село Зимовенька, ул. Подгорная, д. 34;с. Зимовенька, ул. Подгорная, д. 34
Белгородская область, Яковлевский район, село Завидовка, ул. Школьная, д. 1 дробь 1;с. Завидовка, ул. Школьная, д. 1 дробь 1
Белгородская область, Ровеньский район, село Ивановка, ул. Центральная, д. 16;с. Ивановка, ул. Центральная, д. 16
Белгородская область, Яковлевский район,  пгт. Томаровка, ул. 32-го Гвардейского корпуса, 15А;пгт. Томаровка, ул. 32-го Гвардейского корпуса, 15А
Белгородская область, Белгородский район, село Наумовка, ул. Нагорная, д. 20;с. Наумовка, ул. Нагорная, д. 20
Белгородская область, Новооскольский район, хутор Севальный, ул. Новая, д. 3 дробь 1;хутор Севальный, ул. Новая, д. 3 дробь 1
Воронежская обл., Ольховатский р-н, сл. Юрасовка, ул. Коммунаров, 14 А;сл. Юрасовка, ул. Коммунаров, 14 А
Республика Башкортостан, Белорецкий район, с. Абзаково, ул. Школьная, 28 дробь 1;с. Абзаково, ул. Школьная, 28 дробь 1
Белгородская область, Старооскольский городской округ, село Нижне-Чуфичево, ул. Центральная, д. 52а;с. Нижне-Чуфичево, ул. Центральная, д. 52а
Белгородская область, Белгородский район, село Долбино, ул. Школьная, д. 24Б;с. Долбино, ул. Школьная, д. 24Б
Белгородская область, Губкинский городской округ, село Вислая Дубрава, ул. Каштановая, д. 18 дробь 2;с. Вислая Дубрава, ул. Каштановая, д. 18 дробь 2
Белгородская область, Чернянский район, село Сухая Ольшанка, ул. Романовская, д. 39;с. Сухая Ольшанка, ул. Романовская, д. 39
Белгородская область, Волоконовский район, село Верхние Лубянки, ул. Центральная, д. 1 а;с. Верхние Лубянки, ул. Центральная, д. 1 а
Белгородская область, Волоконовский район, село Чапельное, ул. Центральная, д. 26 в;с. Чапельное, ул. Центральная, д. 26 в
Белгородская область, Красногвардейский район, село Нижняя Покровка, ул. Мирная, д. 93а;с. Нижняя Покровка, ул. Мирная, д. 93а
Белгородская область, Красненский район, село Расховец, ул. Центральная, д. 32 дробь 2;с. Расховец, ул. Центральная, д. 32 дробь 2
Белгородская область, Грайворонский район, село Ломное, ул. Новоселовка, д. 15;с. Ломное, ул. Новоселовка, д. 15
Воронежская обл., Калачеевский р-н, с. Пирогово, ул. Красный Флот, 30 А;с. Пирогово, ул. Красный Флот, 30 А
Воронежская область, г. Нововоронеж, Территория промышленная зона Нововоронежской АЭС;г. Нововоронеж, Территория промышленная зона Нововоронежской АЭС
Белгородская область, Ровеньский район, село Мартынцы, ул. Солнечная, д. 23 дробь 2;с. Мартынцы, ул. Солнечная, д. 23 дробь 2
Белгородская область, Белгородский район, село Варваровка, ул. Зеленая, д. 55Б;с. Варваровка, ул. Зеленая, д. 55Б
Белгородская область, г. Алексеевка, 2-й Мостовой переулок,  4;г. Алексеевка, 2-й Мостовой переулок, 4
Белгородская область, Вейделевский район, село Олейники, ул. Молодежная, д. 17 дробь 1;с. Олейники, ул. Молодежная, д. 17 дробь 1
Белгородская область, Ровеньский район, хутор Шияны, ул. Песчаная, д. 19;хутор Шияны, ул. Песчаная, д. 19
Воронежская обл., Россошанский р-н, п. Копенкина, ул. Молодежная, 1 А;п. Копенкина, ул. Молодежная, 1 А
Воронежская обл., Россошанский р-н, х. Чагари, ул. Лесная, 1 А;х. Чагари, ул. Лесная, 1 А
Удмуртская Республика, Вавожский район, д. Новая Бия, ул. Школьная, 406;д. Новая Бия, ул. Школьная, 406
Белгородская область, Яковлевский район, село Новая Глинка, ул. Центральная, д. 50 дробь 1;с. Новая Глинка, ул. Центральная, д. 50 дробь 1
Белгородская область, Шебекинский район, село Безлюдовка, пер. Сосновый, д. 2а;с. Безлюдовка, пер. Сосновый, д. 2а
Белгородская область, Ровеньский район, хутор Клиновый, ул. Центральная, д. 4 дробь 1;хутор Клиновый, ул. Центральная, д. 4 дробь 1
Белгородская область, Корочанский район, село Клиновец, ул. Кожанова, д. 7а;с. Клиновец, ул. Кожанова, д. 7а
Воронежская обл., Новоусманский р-н, п. Трудовое, ул. Солнечная, 2, корп. 2;п. Трудовое, ул. Солнечная, 2
Воронежская обл., Панинский р-н, с. Новохреновое, ул. Совхозная, 76;с. Новохреновое, ул. Совхозная, 76
Воронежская обл., Ольховатский р-н, сл. Копаная 1-я, ул. Мира, 81 А;сл. Копаная 1-я, ул. Мира, 81 А
Белгородская область, Белгородский район, село Солохи, ул. Школьная, д. 1В;с. Солохи, ул. Школьная, д. 1В
Белгородская область, Красногвардейский район, село Садки, ул. Гончарная, д. 26а;с. Садки, ул. Гончарная, д. 26а
Белгородская область, Валуйский район, село Герасимовка, ул. Октябрьская, д. 40А;с. Герасимовка, ул. Октябрьская, д. 40А
Белгородская область, Валуйский район, село Знаменка, ул. им Л.Киселева, д. 42 дробь 1;с. Знаменка, ул. им Л.Киселева, д. 42 дробь 1
Белгородская область, Алексеевский район, село Варваровка, ул. Центральная, д. 8;с. Варваровка, ул. Центральная, д. 8
Белгородская область, Алексеевский район, с. Матрено-Гезово, Степная ул.,  10;с. Матрено-Гезово, Степная ул., 10
Белгородская область, Ровеньский район, село Пристень, ул. Центральная, д. 88 дробь 1;с. Пристень, ул. Центральная, д. 88 дробь 1
Воронежская обл., Россошанский р-н, х. Новопостояловка, ул. Садовая, 17 А;х. Новопостояловка, ул. Садовая, 17 А
Воронежская обл., Новоусманский р-н, с. Макарье, ул. Советская, 1, корп. 2;с. Макарье, ул. Советская, 1
Воронежская область, Воробьевский район, село Воробьевка, пл. Борцов Революции, дом 40;с. Воробьевка, пл. Борцов Революции, дом 40
Воронежская обл., Россошанский р-н, с. Цапково, пер. Школьный, 4 А;с. Цапково, пер. Школьный, 4 А
Воронежская обл., Россошанский р-н, х. Комарово, ул. Центральная, 64 А;х. Комарово, ул. Центральная, 64 А
Воронежская обл., Павловский р-н, с. Шувалов, ул. Олейникова, 5 А;с. Шувалов, ул. Олейникова, 5 А
Воронежская обл., Таловский р-н, х. Новенький, ул. Солнечная, 25 корп. 1;х. Новенький, ул. Солнечная, 25 корп. 1
Воронежская обл., Каменский р-н, х. Новиковский, ул. Молодежная, 25, корп. 1;х. Новиковский, ул. Молодежная, 25
Республика Коми, Ижемский район, д. Ласта, ул. Центральная, 19;д. Ласта, ул. Центральная, 19
Самарская область, Борский район, с. Алексеевка, ул. Школьная, 53, лит. В;с. Алексеевка, ул. Школьная, 53, лит. В
Самарская область, Борский район, п. Новый Кутулук, ул. Школьная, 8;п. Новый Кутулук, ул. Школьная, 8
Самарская область, Борский район, с. Усманка, ул. Центральная, 23;с. Усманка, ул. Центральная, 23
Нижегородская область, Сосновский район, с. Крутые, ул. Советская, 12;с. Крутые, ул. Советская, 12
Смоленская область, Рославльский район, Костыри, ул. Садовая, 1;Костыри, ул. Садовая, 1
Республика Коми, Прилузский район, село Черёмуховка, ул. 40 лет СХТ, 1;с. Черёмуховка, ул. 40 лет СХТ, 1
Республика Калмыкия, г. Элиста, ул. В. И. Ленина, 52;г. Элиста, ул. В. И. Ленина, 52
Республика Бурятия, Хоринский район, п. Майла, ул.Онинская, 3-2;п. Майла, ул.Онинская, 3-2
Свердловская область, Нижнесергинский район, п. Нижние Серги;п. Нижние Серги
Мурманская область,  г. Кировск, нп Титан, 15;г. Кировск, нп Титан, 15
Хабаровский край, Ульчский район, с,Дуди, ул. Почтовая, 2;с,Дуди, ул. Почтовая, 2
Приморский край, Надеждинский район, п. Роленевод, ул. Садовая, 1, лит. б;п. Роленевод, ул. Садовая, 1, лит. б
Республика Коми, городской округ Ухта, село Кедвавом, ул. Центральная, 1;городской округ Ухта,с. Кедвавом, ул. Центральная, 1
Республика Башкортостан, Благовещенский район, с. Старонадеждино, ул. Молодежная, 32а;с. Старонадеждино, ул. Молодежная, 32а
Ханты-Мансийский автономный округ, Ханты-Мансийский район, сельское поселение Шапша, деревня Ярки, улица Снежная, дом 6;ХантыЯрки,ул. Снежная, дом 6
Алтай респ., Онгудайский р-н, с. Туекта, ул. Семёнова, 49 дробь 2;с. Туекта, ул. Семёнова, 49 дробь 2
Нижегородская область, Арзамасский район, д. Бебяево, ул. Ленина, 40 В;д. Бебяево, ул. Ленина, 40 В
Республика Коми, Печорский район, д. Даниловка, ул. Центральная, 48;д. Даниловка, ул. Центральная, 48
Россия, Камчатский край, Елизовский район, с. Паратунка, ул. Елизово, 39а;с. Паратунка, ул. Елизово, 39а
Ставропольский край, Минераловодский район, п. Загорский, 8 дробь 11;п. Загорский, 8 дробь 11
Смоленская область, Краснинский район, Мерлино, ул. Зеленая, 1;Мерлино, ул. Зеленая, 1
Пензенская область, Нижнеломовский район,  с. Атмис, ул. Новая, 14А;с. Атмис, ул. Новая, 14А
Свердловская область, Режевской городской округ, с. Черемисское, Молодежная ул.;с. Черемисское, Молодежная ул.
Ханты-Мансийский автономный округ – Югра, Ханты-Мансийский район, поселок Сибирский, улица Комарова, дом 59;п. Сибирский,ул. Комарова, дом 59
Самарская область, Кошкинский район, с. Кошки, ул. Победы, 12;с. Кошки, ул. Победы, 12
Ставропольский край, Будённовский район, с. Прасковея, п. Сельхозтехникума;Будёс. Прасковея, п. Сельхозтехникума
;
;
;
;
;
;
;
;
;
;
Смоленская область, Шумячский район, село Первомайский, ул. Советская, 22А;с. Первомайский, ул. Советская, 22А
Республика Коми, Усть-Куломский район, п. Озъяг, ул. Школьная, 8А;п. Озъяг, ул. Школьная, 8А
